#name	value
uc031rgd.1	NM_014834
uc031rge.1	NM_014834
uc031rgf.1	NM_014834
uc031rgg.1	NM_014834
uc031rgh.1	NM_001006607
uc031rgi.1	NM_001006607
uc031rgj.1	NM_014834
uc031rgk.1	NM_014834
uc031rgl.1	NM_014834
uc031rgm.1	NM_014834
uc031rgn.1	NM_199340
uc010wwy.2	NR_034172
uc010wxl.1	NM_001007532
uc010wxm.3	NR_024560
uc010wxe.2	NM_001123066
uc010wxf.2	NM_016835
uc010wxg.2	NM_005910
uc010wxh.2	NM_001123067
uc021ugb.1	NM_001203252
uc021ugc.1	NM_001203251
uc010wxi.2	NM_016834
uc010wxj.2	NM_016841
uc010wxo.2	NM_175882
uc010wxx.1	NM_001145147
uc021ugd.1	NM_001256299
uc010wxy.1	NM_001145147
uc010wxz.2	NM_001145148
uc010wya.2	NM_001256299
uc010wxp.2	NM_001145146
uc010wxq.2	NM_004382
uc010wxr.2	NM_001145148
uc010wxs.2	NM_001256299
uc010wxt.2	NM_001256299
uc010wxu.2	NM_001256299
uc010wyb.1	NR_026906
uc010wyc.1	NR_026905
uc010wxv.2	NM_001256299
uc010wyd.2	NR_027295
uc010wxw.2	NM_001256299
uc010wye.2	NR_026680
uc021ugf.1	NM_001113738
uc010wyi.2	NM_016632
uc010wym.1	NM_001113738
uc010wyn.1	NM_016632
uc021zmq.1	NM_001195202
uc011fry.2	NM_001005216
uc011frz.2	NM_030905
uc011fsa.2	NM_030946
uc011fsc.2	NM_013936
uc011fsf.2	NM_013941
uc011fsg.2	NM_030883
uc021zmr.1	NR_037181
uc011fsk.2	NR_037179
uc021zms.1	NR_037180
uc011fsn.2	NR_003049
uc011fso.1	NM_007160
uc011fsu.2	NM_001008229
uc011fsv.2	NM_001170418
uc011fsw.2	NM_001170418
uc011fsx.2	NM_206809
uc011fta.2	NM_206814
uc011fsz.2	NM_206809
uc011ftc.2	NM_001170418
uc011ftb.2	NM_001170418
uc011fte.2	NM_002433
uc011ftf.2	NM_206809
uc011ftg.2	NM_206811
uc011fti.2	NM_001008228
uc011fth.2	NM_206810
uc011ftj.2	NM_206812
uc011ftk.2	NM_001008229
uc031ssm.1	NM_018950
uc011ftn.2	NM_018950
uc011fto.2	NM_001098478
uc011ftp.2	NM_001098479
uc011ftq.1	NM_018950
uc011ftr.1	NM_001098479
uc011ftx.1	NM_001207043
uc011fty.2	NM_001207043
uc011fua.1	NM_002127
uc011fuh.1	NM_002127
uc011fub.1	NM_002127
uc011fuc.1	NM_002127
uc011fud.1	NM_002127
uc011fue.1	NM_002127
uc011fuf.1	NM_002127
uc021zmv.1	NR_001434
uc011fui.2	NR_001434
uc021zmu.1	NR_001434
uc021zmw.1	NM_001242758
uc011fus.1	NM_001242758
uc011fut.2	NM_001242758
uc011fuk.2	NM_001242758
uc011fur.2	NM_001242758
uc011fuz.2	NR_028032
uc011fvc.1	NR_024240
uc011fug.3	NM_002127
uc011fvb.2	NR_024240
uc011fvd.2	NR_024240
uc011fvg.2	NM_014596
uc011fvh.2	NM_170783
uc011fvi.2	NM_021959
uc011fvj.2	NM_021959
uc011fvk.2	NM_021959
uc011fvq.1	NM_138700
uc011fvs.1	NM_138700
uc011fvv.2	NM_033229
uc011fwb.1	NR_027822
uc011fwf.2	NM_172016
uc011fwg.2	NM_021253
uc011fwh.2	NM_172016
uc011fwi.2	NM_172016
uc011fwj.2	NM_001199119
uc011fwl.2	NM_024839
uc011fwm.2	NM_001199121
uc021zmz.1	NM_001199120
uc011fwk.2	NM_024839
uc011fwn.2	NM_005516
uc011fwo.2	NM_005516
uc011fwp.2	NM_005516
uc011fwq.2	NM_005516
uc011fwv.2	NM_025263
uc011fww.2	NM_001077497
uc021zna.1	NR_030615
uc011fwx.1	NM_001025091
uc011fwy.2	NM_001025091
uc011fwz.2	NM_001090
uc011fxd.1	NM_014046
uc011fxe.1	NM_014046
uc011fxg.2	NM_024909
uc011fxi.2	NM_001254952
uc011fxh.2	NM_001031722
uc011fxj.2	NM_024909
uc011fxm.2	NM_001031722
uc011fxn.2	NM_001031722
uc011fxo.2	NM_001161376
uc011fxp.2	NM_001109938
uc011fxq.2	NM_145029
uc011fyf.2	NM_178014
uc011fyg.2	NM_178014
uc021znb.1	NR_039783
uc011fyq.2	NM_001202521
uc011fys.1	NM_001202522
uc011fyu.1	NM_001202522
uc011fyk.2	NM_001954
uc011fyl.2	NM_001954
uc011fym.2	NM_013993
uc011fyn.2	NM_013993
uc011fyo.2	NM_001954
uc011fyp.2	NM_001202523
uc011fyr.2	NM_001954
uc011fyt.2	NM_013994
uc011fyv.2	NM_001202522
uc011fyw.2	NM_001202521
uc011fyy.1	NM_001517
uc011fyz.1	NM_001517
uc011fzb.1	NM_001517
uc011fze.2	NM_001167734
uc011fzd.2	NM_020442
uc011fzf.2	NM_020442
uc011fzg.2	NM_001167733
uc011fzh.2	NM_001167734
uc011fzi.2	NM_020442
uc011fzj.2	NM_020442
uc011fzk.2	NM_020442
uc011fzl.2	NM_001167733
uc011fzm.2	NM_001167733
uc011fzn.2	NM_001167733
uc011fzp.1	NM_080870
uc011fzq.1	NM_001010909
uc011fzr.1	NM_001010909
uc011fzs.1	NM_001010909
uc021znc.1	NM_001198815
uc021znd.1	NM_001198815
uc011fzu.2	NR_003948
uc021zne.1	NR_003948
uc011fzw.2	NM_014068
uc011fzx.2	NM_014068
uc011fzz.2	NM_014068
uc011gag.2	NM_001077511
uc011gah.2	NM_007109
uc011gao.3	NR_026791
uc011gav.2	NR_002812
uc021zni.1	NM_005931
uc011gaw.2	NM_005931
uc031ssw.1	NM_005931
uc011gax.2	NM_005931
uc011gay.2	NM_005931
uc011gaz.1	NM_001011700
uc011gbq.2	NM_001144963
uc011gbr.2	NM_001144962
uc011gbu.2	NM_001144961
uc011gbt.2	NM_005007
uc011gbs.1	NM_001144962
uc011gbx.2	NM_000595
uc011gby.2	NM_001159740
uc011gbz.2	NM_000595
uc011gca.2	NM_000595
uc011gbv.2	NM_001159740
uc011gbw.2	NM_000595
uc011gcb.3	NM_000594
uc011gcc.2	NM_000594
uc021znk.1	NM_205839
uc011gcq.2	NM_205838
uc011gch.2	NR_029461
uc011gci.2	NR_029462
uc011gcj.2	NM_205837
uc011gck.2	NM_001166538
uc011gcp.2	NM_205840
uc021znl.1	NM_001166538
uc011gcl.2	NM_001166538
uc011gcm.2	NM_007161
uc011gco.2	NM_205840
uc011gcn.2	NM_001166538
uc011gcr.2	NM_205838
uc011gcv.2	NM_004847
uc031ssx.1	NM_032955
uc011gcw.2	NM_001623
uc011gcx.2	NM_032955
uc011gdb.2	NR_002971
uc011gcy.1	NM_080686
uc011gcz.2	NM_080686
uc011gda.2	NM_004638
uc031ssy.1	NR_045828
uc011gdj.3	NM_001256169
uc011gdk.2	NM_019101
uc011gdq.1	NM_001320
uc011gdr.2	NM_001320
uc021znn.1	NM_001320
uc011gds.1	NM_001320
uc031ssz.1	NM_001320
uc031sta.1	NM_001320
uc031stb.1	NM_001320
uc031stc.1	NM_021221
uc031std.1	NM_021221
uc031ste.1	NM_021221
uc011gdu.1	NM_021221
uc011gef.1	NM_001003693
uc011geg.1	NM_001003693
uc011gel.1	NM_021246
uc011gem.1	NM_021246
uc021znp.1	NM_138272
uc011gep.2	NM_138272
uc011geq.2	NM_025260
uc011ger.2	NM_138275
uc011ges.2	NM_138273
uc011get.2	NM_138274
uc011geu.2	NM_138277
uc011gfd.2	NM_025259
uc011gfa.2	NM_172166
uc011gfb.2	NM_172165
uc011gfc.2	NM_002441
uc011gfe.1	NR_037846
uc011gff.1	NM_025259
uc011gfg.2	NR_037846
uc011gfr.2	NM_005345
uc011gfv.2	NM_005346
uc011gfz.1	NR_002745
uc011gga.2	NR_002742
uc011gfw.2	NM_001040437
uc011gfx.2	NM_001040438
uc011gfy.2	NM_001040438
uc011ggv.2	NM_000063
uc011ggr.1	NR_073063
uc011ggs.2	NR_073063
uc011ggu.2	NM_001178063
uc011ggw.2	NM_000063
uc011ggx.2	NM_001145903
uc011ggy.2	NM_001178063
uc011ghb.2	NM_001178063
uc011ghc.1	NM_001710
uc011ghd.1	NM_001710
uc011gha.2	NM_001710
uc011ghe.2	NM_001710
uc011ghj.1	NM_006929
uc011ghk.1	NM_006929
uc011ghl.1	NM_006929
uc011ghu.2	NM_004197
uc011ghv.1	NR_026717
uc011ghs.2	NR_026717
uc011ghx.2	NM_032454
uc011ghw.2	NM_004197
uc011ghy.1	NM_004197
uc011gib.1	NM_001252204
uc011ghz.2	NM_001242823
uc011gia.2	NM_001252204
uc011gic.3	NM_001242823
uc021znt.1	NM_000500
uc021znu.1	NR_040090
uc011gih.2	NM_004197
uc011gik.1	NM_001252204
uc011gii.2	NM_001242823
uc011gij.2	NM_001252204
uc011gil.3	NM_001242823
uc011gim.2	NM_000500
uc011gin.2	NM_001128590
uc011gjd.2	NM_138717
uc011gje.2	NM_005155
uc011gjg.2	NM_005155
uc011gjf.2	NM_005155
uc011gji.1	NM_005155
uc021znz.1	NR_044996
uc011gju.2	NM_019111
uc011gjv.2	NM_019111
uc011gke.2	NM_020056
uc021zoc.1	NR_037175
uc021zod.1	NR_037173
uc021zoe.1	NR_037176
uc021zof.1	NR_037174
uc011gkt.2	NM_002800
uc011gku.2	NM_002800
uc011gkw.2	NR_037177
uc021zog.1	NR_037178
uc011glh.2	NM_001199455
uc011glg.2	NM_001199456
uc011glo.2	NM_002121
uc011gls.1	NM_002121
uc011glp.2	NM_002121
uc011glq.2	NM_002121
uc011gmg.2	NM_001077516
uc011gmh.2	NM_006979
uc011gmi.2	NM_001077516
uc011gmk.2	NM_014234
uc011gml.1	NR_029633
uc011gmm.1	NM_002931
uc011gmn.1	NM_002931
uc011gmo.2	NM_002931
uc011gmp.2	NM_002931
uc021zok.1	NR_044997
uc011gmv.1	NM_022551
uc011gmw.1	NM_022551
uc011gmy.1	NM_003782
uc011gnd.2	NM_001265596
uc011gnc.2	NM_014260
uc031stf.1	NM_001265595
uc021zol.1	NM_001185181
uc011frs.1	NR_033379
uc011frt.1	NM_001010877
uc011fru.1	NM_001010877
uc011frv.1	NM_001010877
uc011frw.1	NM_030903
uc011frx.2	NM_001005226
uc011fsb.1	NM_030959
uc011fsd.2	NM_013937
uc011fsj.2	NM_052967
uc011fsl.2	NM_006398
uc011fsm.2	NM_021903
uc011fsp.2	NM_021903
uc011fst.1	NM_001470
uc011fsq.2	NM_001470
uc011fsr.2	NM_021904
uc011fss.2	NM_021903
uc011ftl.2	NM_001109809
uc011fts.1	NR_026972
uc011ftt.1	NR_026973
uc011ftu.2	NR_026972
uc011ftv.1	NR_001590
uc011ftw.2	NR_002139
uc011fun.1	NR_001317
uc011fva.2	NR_026751
uc011fvf.2	NR_026751
uc011fve.1	NR_026751
uc011fvl.2	NM_170769
uc011fvm.2	NM_025236
uc011fvn.2	NM_007028
uc011fvo.2	NM_007028
uc011fvt.2	NM_052828
uc011fvu.2	NM_006778
uc011fvw.2	NM_003449
uc011fwa.1	NM_003449
uc011fvx.2	NM_003449
uc011fvz.2	NM_001242783
uc011fvy.2	NM_003449
uc031ssn.1	NR_052012
uc011fwd.2	NR_024052
uc011fwe.2	NR_024053
uc031sso.1	NR_102326
uc031ssp.1	NR_102327
uc011fwr.2	NM_005275
uc011fws.2	NM_005275
uc011fwt.2	NM_005275
uc011fwu.2	NM_005275
uc011fxc.3	NR_072994
uc011fxb.3	NM_002714
uc011fxr.2	NM_001164239
uc011fxs.2	NM_001164239
uc011fxt.2	NM_003587
uc011fxu.2	NM_001134870
uc011fxv.2	NM_133471
uc031ssq.1	NM_001270709
uc031ssr.1	NM_001270707
uc031sss.1	NM_001270709
uc031sst.1	NM_007243
uc031ssu.1	NM_001270708
uc031ssv.1	NM_001270710
uc011fxy.3	NM_001270710
uc011fxw.3	NM_007243
uc011fxz.2	NM_014641
uc011fyc.1	NM_014641
uc011fyb.1	NM_014641
uc011fyd.1	NM_014641
uc011fya.2	NM_014641
uc011fyh.2	NM_005803
uc011fyi.2	NM_005803
uc011fyj.2	NM_003897
uc011fzo.2	NM_205854
uc011fzv.2	NM_014070
uc011fzy.2	NM_001264
uc011gaa.2	NM_014069
uc011gab.2	NM_019052
uc021znf.1	NM_001105563
uc021zng.1	NM_019052
uc011gaf.1	NM_019052
uc011gae.2	NM_019052
uc011gai.2	NM_203289
uc011gaj.2	NM_203289
uc021znh.1	NM_001173531
uc011gak.2	NM_002701
uc011gan.1	NR_026816
uc011gat.1	NM_001243042
uc011gar.1	NM_001243042
uc011gau.1	NM_001243042
uc011gap.2	NM_001243042
uc011gas.2	NM_001243042
uc011gbb.2	NM_080598
uc011gbl.1	NR_003140
uc011gbn.1	NR_003065
uc011gbh.1	NM_080598
uc011gbi.1	NM_080598
uc011gbj.1	NM_004640
uc011gbk.1	NR_037852
uc011gbm.1	NM_080598
uc011gbe.2	NM_004640
uc011gbf.2	NM_080598
uc011gbd.2	NR_037852
uc011gbg.2	NM_080598
uc011gbo.2	NM_138282
uc011gbp.2	NM_130463
uc021znj.1	NM_001204078
uc011gcd.1	NM_002341
uc011gce.1	NM_009588
uc011gcs.1	NM_147130
uc011gct.1	NM_001145466
uc011gcu.1	NM_001145467
uc011gdc.2	NM_001098534
uc011gdd.2	NM_004639
uc011gdf.2	NM_080702
uc011gde.2	NM_080703
uc011gdg.2	NM_001199698
uc011gdh.2	NM_001199697
uc011gdl.1	NM_021184
uc011gdm.2	NM_033177
uc021znm.1	NM_001199240
uc011gdn.2	NM_001199238
uc011gdo.2	NM_001199239
uc011gdp.2	NM_001199237
uc011gdv.2	NM_025262
uc011gdw.1	NM_025262
uc011gdx.1	NM_025262
uc021zno.1	NR_039789
uc011gdy.2	NM_021160
uc011gdz.2	NM_001177515
uc011gea.2	NM_021160
uc011ged.2	NM_001177515
uc011gee.2	NM_021160
uc011gec.2	NM_021160
uc011geh.1	NR_024541
uc011gei.1	NR_003673
uc011gek.1	NR_003673
uc011gej.1	NR_003673
uc011gen.2	NM_025261
uc011geo.2	NM_025261
uc011gev.2	NM_013974
uc011gew.2	NM_013974
uc011gex.1	NM_001288
uc011gey.1	NM_001288
uc011gfi.2	NM_025258
uc011gfj.1	NM_025258
uc011gfk.1	NM_025258
uc021znq.1	NM_006295
uc011gfl.2	NM_006295
uc011gfn.1	NM_006295
uc011gfo.2	NM_021177
uc011gfp.2	NM_005527
uc011gfq.2	NM_005527
uc011ggb.2	NM_000434
uc011ggh.2	NM_001178045
uc011ggg.2	NM_025257
uc011ggi.2	NM_001178044
uc011ggl.2	NM_025256
uc011ggm.2	NM_006709
uc011ggn.2	NM_025256
uc011ggo.2	NM_006709
uc011ggp.2	NM_025256
uc011ggq.1	NM_025256
uc011ggt.1	NM_181842
uc021zns.1	NR_031601
uc011ghf.2	NM_002904
uc011ghg.2	NM_002904
uc011ghn.1	NM_005510
uc011gho.1	NM_005510
uc011ghr.1	NM_005510
uc011ght.1	NM_005510
uc011gif.2	NM_032470
uc011gio.1	NM_032470
uc011gip.1	NM_032470
uc011giq.1	NM_019105
uc011gir.1	NM_019105
uc011gis.1	NM_001136153
uc011giv.2	NM_001136153
uc011giw.2	NM_001136153
uc011git.2	NM_001136153
uc011giu.2	NM_004381
uc011gix.2	NM_004381
uc011giy.2	NM_022110
uc011giz.2	NM_030651
uc011gja.2	NM_030651
uc011gjb.2	NM_030651
uc021znv.1	NR_037171
uc021znw.1	NR_037170
uc011gjc.2	NR_037172
uc021znx.1	NR_037169
uc021zny.1	NM_006781
uc011gjl.2	NM_006781
uc011gjm.2	NM_006781
uc011gjn.2	NM_006781
uc011gjo.1	NM_006781
uc011gjp.1	NM_006781
uc011gjq.2	NM_019602
uc011gjr.2	NM_019602
uc011gjs.3	NM_019602
uc011gjt.2	NM_019602
uc011gkf.2	NM_001198858
uc011gkg.1	NM_001198858
uc011gkh.2	NM_002120
uc011gkj.1	NM_002120
uc011gkm.1	NM_000544
uc011gki.1	NM_018833
uc011gkk.1	NM_018833
uc011gkl.2	NM_000544
uc011gkn.2	NM_148919
uc011gko.2	NM_148919
uc011gkp.2	NM_004159
uc011gkr.2	NM_000593
uc011gks.2	NM_000593
uc011gky.2	NM_002118
uc011gkz.2	NM_002118
uc011gla.2	NM_002118
uc011glb.2	NM_002118
uc011glc.2	NM_002118
uc011gkx.2	NM_002118
uc011gld.2	NM_002118
uc011gle.1	NM_006120
uc011glf.1	NM_006120
uc011gli.2	NM_002119
uc011glj.2	NM_002119
uc011glk.2	NM_002119
uc011glm.2	NM_033554
uc011gll.2	NM_033554
uc021zoh.1	NM_001242524
uc021zoi.1	NM_001242525
uc011glt.1	NM_080679
uc011glu.1	NM_080680
uc011glv.1	NM_080681
uc011glw.1	NM_080679
uc011glx.2	NM_001163771
uc011gmd.1	NM_021976
uc011gly.3	NM_021976
uc011glz.3	NM_001270401
uc011gmc.2	NM_021976
uc011gme.2	NM_021976
uc011gmf.2	NM_021976
uc011gmb.3	NM_001270401
uc011gms.1	NM_022553
uc011gmq.2	NM_022553
uc011gmu.1	NM_022553
uc011gmr.2	NM_022553
uc011gmt.1	NM_022553
uc011gnb.1	NM_001164267
uc011gmz.2	NM_005452
uc011gna.2	NM_001164267
uc011gne.2	NM_001243738
uc011gnf.2	NM_001243738
uc011gng.2	NM_004761
uc011gnh.2	NM_001243738
uc011gni.2	NM_001243738
uc011gnj.2	NM_003190
uc011gnn.2	NM_172209
uc011gnm.2	NM_172208
uc011gnl.2	NM_172208
uc011gno.2	NM_003190
uc011gnp.1	NM_005453
uc011gnq.1	NM_001145338
uc021zom.1	NM_001350
uc021zon.1	NM_001350
uc011gnr.2	NM_001254717
uc011gns.2	NM_001350
uc011gnt.2	NM_001141970
uc011gnu.2	NM_001141969
uc011gnv.1	NM_001350
uc021ztf.1	NM_001195202
uc011iec.2	NM_001005216
uc011ied.2	NM_030905
uc011ieg.2	NM_013941
uc011ieh.2	NM_030883
uc021ztg.1	NR_037181
uc011iem.2	NR_037179
uc021zth.1	NR_037180
uc011iep.2	NR_003049
uc011ieq.1	NM_007160
uc011iew.2	NM_001008229
uc011iex.2	NM_001170418
uc011iey.2	NM_001170418
uc011iez.2	NM_206809
uc011ifc.2	NM_206814
uc011ifb.2	NM_206809
uc011ife.2	NM_001170418
uc011ifd.2	NM_001170418
uc011ifg.2	NM_002433
uc011ifh.2	NM_206809
uc011ifi.2	NM_206811
uc011ifk.2	NM_001008228
uc011ifj.2	NM_206810
uc011ifl.2	NM_206812
uc011ifm.2	NM_001008229
uc031sut.1	NM_018950
uc011ifp.2	NM_018950
uc011ifq.2	NM_001098478
uc011ifr.2	NM_001098479
uc011ifs.1	NM_018950
uc011ift.1	NM_001098479
uc011ifz.1	NM_001207043
uc011iga.2	NM_001207043
uc011igb.2	NM_001207043
uc021ztj.1	NM_001207043
uc011igc.1	NM_002127
uc011igd.1	NM_002127
uc011ige.1	NM_002127
uc011igf.1	NM_002127
uc011igg.1	NM_002127
uc011igh.1	NM_002127
uc011igi.1	NM_002127
uc021ztl.1	NR_001434
uc021ztk.2	NR_001434
uc011igj.3	NR_001434
uc031suu.1	NM_002116
uc011igl.2	NM_002116
uc011igq.2	NM_002116
uc011igs.2	NM_002116
uc011igt.2	NM_002116
uc011igv.2	NM_002116
uc011iha.2	NR_028032
uc011ihd.2	NR_024240
uc011ihe.2	NR_024240
uc011ihf.2	NR_024240
uc011ihi.2	NM_014596
uc011ihj.2	NM_170783
uc011ihk.2	NM_021959
uc011ihl.2	NM_021959
uc011ihm.2	NM_021959
uc011ihs.1	NM_138700
uc011ihu.1	NM_138700
uc011ihx.2	NM_033229
uc011iid.1	NR_027822
uc011iih.2	NM_172016
uc011iii.2	NM_021253
uc011iij.2	NM_172016
uc011iik.2	NM_172016
uc011iil.2	NM_001199119
uc011iin.2	NM_024839
uc011iio.2	NM_001199121
uc021ztn.1	NM_001199120
uc011iim.2	NM_024839
uc011iip.2	NM_005516
uc011iiq.2	NM_005516
uc011iir.2	NM_005516
uc011iis.2	NM_005516
uc011iix.2	NM_025263
uc011iiy.2	NM_001077497
uc011iiz.1	NM_001025091
uc011ija.2	NM_001025091
uc011ijb.2	NM_001090
uc021zto.1	NR_030615
uc011ijf.1	NM_014046
uc011ijg.1	NM_014046
uc011iji.2	NM_024909
uc011ijk.2	NM_001254952
uc011ijj.2	NM_001031722
uc011ijl.2	NM_024909
uc011ijo.2	NM_001031722
uc011ijp.2	NM_001031722
uc011ijq.2	NM_001161376
uc011ijr.2	NM_001109938
uc011ijs.2	NM_145029
uc011ikh.2	NM_178014
uc011iki.2	NM_178014
uc011ikm.2	NM_001954
uc011ikn.2	NM_001954
uc011iko.2	NM_013993
uc011ikp.2	NM_013993
uc011ikq.2	NM_001954
uc011ikr.2	NM_001202523
uc011iks.2	NM_001202521
uc011ikt.2	NM_001954
uc011iku.1	NM_001202522
uc011ikv.2	NM_013994
uc011ikx.2	NM_001202522
uc011iky.2	NM_001202521
uc021ztp.1	NR_039783
uc011ikw.1	NM_001202522
uc011ila.1	NM_001517
uc011ilb.1	NM_001517
uc011ild.1	NM_001517
uc021ztq.1	NM_020442
uc011ilg.2	NM_001167734
uc011ili.2	NM_020442
uc011ilh.2	NM_001167733
uc011ilj.2	NM_001167734
uc011ilm.2	NM_020442
uc011ilk.2	NM_020442
uc011ill.2	NM_020442
uc011iln.2	NM_001167733
uc011ilo.2	NM_001167733
uc011ilq.1	NM_080870
uc011ilr.1	NM_001010909
uc011ils.1	NM_001010909
uc021ztr.1	NM_001010909
uc021zts.1	NM_001198815
uc021ztt.1	NM_001198815
uc021ztv.2	NR_003948
uc021ztu.1	NR_003948
uc011ilv.2	NM_014068
uc011ilw.2	NM_014068
uc011ily.2	NM_014068
uc011imf.2	NM_001077511
uc011img.2	NM_007109
uc011imn.3	NR_026791
uc011imo.1	NM_005931
uc031sve.1	NM_005931
uc011inc.1	NR_036523
uc021ztz.1	NM_000247
uc021zua.1	NM_005931
uc021zub.1	NM_000247
uc011ind.1	NM_000247
uc011ine.2	NR_002812
uc011inf.1	NM_005931
uc011ing.1	NM_005931
uc011inh.2	NM_005931
uc011ini.1	NM_001011700
uc011inz.2	NM_001144963
uc011ioa.2	NM_001144962
uc011iob.1	NM_001144962
uc011iod.2	NM_001144961
uc011ioc.2	NM_005007
uc011ioe.2	NM_001159740
uc011iof.2	NM_000595
uc011iog.2	NM_000595
uc011ioh.2	NM_001159740
uc011ioi.2	NM_000595
uc011ioj.2	NM_000595
uc011iok.3	NM_000594
uc011iol.2	NM_000594
uc021zud.1	NM_205839
uc011ioz.2	NM_205838
uc011ioq.2	NR_029461
uc011ior.2	NR_029462
uc011ios.2	NM_205837
uc011iot.2	NM_001166538
uc011ioy.2	NM_205840
uc021zue.1	NM_001166538
uc011iou.2	NM_001166538
uc011iov.2	NM_007161
uc011iox.2	NM_205840
uc011iow.2	NM_001166538
uc011ipa.2	NM_205838
uc011ipe.2	NM_004847
uc031svf.1	NM_032955
